codigo,razon_social,country,es_banco
5392810,Instituição 05392810,BR,False
5410056,Instituição 05410056,BR,False
5419025,Instituição 05419025,BR,False
5424088,Instituição 05424088,BR,False
5425526,Instituição 05425526,BR,False
5428587,Instituição 05428587,BR,False
5439425,Instituição 05439425,BR,False
5442029,Casa do Crédito S.A. Sociedade de Crédito Ao Microempreendedor,BR,False
5442759,Instituição 05442759,BR,False
5460750,Instituição 05460750,BR,False
5463212,Cooperativa Central de Crédito - Ailos,BR,False
5463934,Instituição 05463934,BR,False
5474540,Instituição 05474540,BR,False
5477038,Instituição 05477038,BR,False
5491616,Cooperativa de Crédito Poupança e Serviços Financeiros - Em Liquidação Extrajudicial,BR,False
5494591,Instituição 05494591,BR,False
5503849,Instituição 05503849,BR,False
5545390,Instituição 05545390,BR,False
5548335,Instituição 05548335,BR,False
5582619,Instituição 05582619,BR,False
5591437,Instituição 05591437,BR,False
5597773,Instituição 05597773,BR,False
5607266,Instituição 05607266,BR,False
5658367,Instituição 05658367,BR,False
5667301,Instituição 05667301,BR,False
5669150,Instituição 05669150,BR,False
5676026,Crediare S.A. - Crédito Financiamento e Investimento,BR,False
5684234,Planner Sociedade de Crédito Direto,BR,False
5740092,Instituição 05740092,BR,False
5745533,Instituição 05745533,BR,False
5746715,Instituição 05746715,BR,False
5747018,Instituição 05747018,BR,False
5790149,Central Cooperativa de Crédito No Estado do Espírito Santo - Cecoop,BR,False
5816451,Instituição 05816451,BR,False
5841967,Cooperativa de Economia e Crédito Mútuo dos Fabricantes de Calçados de Sapiranga Ltda.,BR,False
5856736,Instituição 05856736,BR,False
5861932,Instituição 05861932,BR,False
5863726,Instituição 05863726,BR,False
5883884,Instituição 05883884,BR,False
5888589,Instituição 05888589,BR,False
5938780,Instituição 05938780,BR,False
5940203,Instituição 05940203,BR,False
5956581,Instituição 05956581,BR,False
5969937,Instituição 05969937,BR,False
5979692,Instituição 05979692,BR,False
5983995,Instituição 05983995,BR,False
6031727,Instituição 06031727,BR,False
6040559,Instituição 06040559,BR,False
6077760,Instituição 06077760,BR,False
6078926,Instituição 06078926,BR,False
6126780,Instituição 06126780,BR,False
6132348,Instituição 06132348,BR,False
6139650,Instituição 06139650,BR,False
6174009,Instituição 06174009,BR,False
6249129,Rpw S/A Sociedade de Crédito Financiamento e Investimento,BR,False
6271464,Banco Bradesco Bbi,BR,True
6284531,Instituição 06284531,BR,False
6324872,Instituição 06324872,BR,False
6332931,Instituição 06332931,BR,False
6339468,Instituição 06339468,BR,False
6369729,Instituição 06369729,BR,False
6373777,Instituição 06373777,BR,False
6881898,Instituição 06881898,BR,False
6910457,Instituição 06910457,BR,False
6942423,Instituição 06942423,BR,False
6975532,Instituição 06975532,BR,False
7026923,Instituição 07026923,BR,False
7070495,Instituição 07070495,BR,False
7097064,Instituição 07097064,BR,False
7108146,Instituição 07108146,BR,False
7122321,Instituição 07122321,BR,False
7138049,Picpay Invest Distribuidora de Títulos e Valores Mobiliários Ltda,BR,False
7194313,Instituição 07194313,BR,False
7202627,Instituição 07202627,BR,False
7206072,Instituição 07206072,BR,False
7207996,Banco Bradesco Financiamentos,BR,True
7215632,Instituição 07215632,BR,False
7237373,Banco do Nordeste do Brasil,BR,True
7252614,Instituição 07252614,BR,False
7253654,Hedge Investments Distribuidora de Títulos e Valores Mobiliários Ltda.,BR,False
7268499,Instituição 07268499,BR,False
7299480,Instituição 07299480,BR,False
7314204,Instituição 07314204,BR,False
7318874,Instituição 07318874,BR,False
7320890,Instituição 07320890,BR,False
7327045,Instituição 07327045,BR,False
7333726,Instituição 07333726,BR,False
7397614,Instituição 07397614,BR,False
