cuenta,descripcion,country,formula
140208,"Perda Esperada 
(f2)",BR,[1741040005] + [1741050002] + [1741060009]
140209,"Hedge de Valor Justo 
(f3)",BR,[1741070006]
140210,"Operações de Arrendamento Financeiro 
(f)",BR,[1741000007]
140212,"Valor Contábil Bruto 
(g1)",BR,[1811010109] + [1811010116] + [1811010123] + [1811010130] + [1811010147] + [1811010154] + [1812010108] + [1812010115] + [1812010122] + [1812010139] + [1812010146] + [1812010153] + [1813010107] + [1813010114] + [1813010121] + [1813010138] + [1813010145] + [1813010152] + [1814010106] + [1814010113] + [1814010120] + [1814010137] + [1814010144] + [1814010151] + [1815010105] + [1815010112] + [1815010129] + [1815010136] + [1815010143] + [1815010150] + [1819010101] + [1819010118] + [1819010125] + [1819010132] + [1819010149] + [1819010156]
140213,"Perda Esperada 
(g2)",BR,[1811010408] + [1811010501] + [1811010604] + [1812010407] + [1812010500] + [1812010603] + [1813010406] + [1813010509] + [1813010602] + [1814010405] + [1814010508] + [1814010601] + [1815010404] + [1815010507] + [1815010600] + [1819010400] + [1819010503] + [1819010606]
140214,"Hedge de Valor Justo 
(g3)",BR,[1811010707] + [1812010706] + [1813010705] + [1814010704] + [1815010703] + [1819010709]
140215,"Ajuste a Valor Justo 
(g4)",BR,[1811010800] + [1812010809] + [1813010808] + [1814010807] + [1815010806] + [1819010802]
140216,"Outras Operações com Características de Concessão de Crédito 
(g)",BR,[1810000000]
140218,"Outros Ativos Realizáveis 
(i)",BR,[1400000001] + [1500000004] + [1900000006] + [1700000000] - [1741000007] + [1800000003] - [1810000000] - [1887900009] - [1899600005]
140219,"Ativo Permanente 
(j)",BR,[2000000008]
140220,Ativo Total,BR,[1000000009] + [2000000008]
140222,"Depósitos à Vista 
(a1)",BR,[4110000006]
140223,"Depósitos de Poupança 
(a2)",BR,[4120000003]
140224,"Depósitos Interfinanceiros 
(a3)",BR,[4130000000]
140225,"Depósitos a Prazo 
(a4)",BR,[4150000004]
140226,"Conta de Pagamento Pré-Paga 
(a5)",BR,[4193000009]
140227,"Depósitos Outros 
(a6)",BR,[4140000007] + [4160000001] + [4170000008] + [4180000005] + [4190000002] - [4193000009]
140228,"Depósitos 
(a)",BR,[4100000009]
140230,"Obrigações por Operações Compromissadas 
(b)",BR,[4200000002]
140231,"Letras de Crédito Imobiliário 
(c1)",BR,[4323500001]
140232,"Letras de Crédito do Agronegócio 
(c2)",BR,[4324000005]
140233,"Letras Financeiras 
(c3)",BR,[4325000004]
140234,"Obrigações por Títulos e Valores Mobiliários no Exterior 
(c4)",BR,[4350000000]
140235,"Demais instrumentos de dívida 
(c5)",BR,[4300000005] - [4323500001] - [4324000005] - [4325000004] - [4350000000] - [4391000007] - [4392000006]
140236,"Outros Instrumentos de Dívida 
(c)",BR,[4300000005] - [4391000007] - [4392000006]
140238,"Obrigações por Empréstimos e Repasses 
(d)",BR,[4600000004]
140239,"Captações 
(e) = (a) + (b) + (c) + (d)",BR,[4100000009] + [4200000002] + [4300000005] - [4391000007] - [4392000006] + [4600000004]
140241,"Instrumentos Derivativos 
(f)",BR,[4700000007]
140242,"Outras Obrigações 
(g)",BR,[4400000008]+ [4500000001]+ [4800000000]+ [4900000003]
140243,"Instrumentos de Dívida Elegíveis a Capital 
(h)",BR,[4391000007] + [4392000006]
140244,"Passivo Exigível 
(i) = (e) + (f) + (g) + (h)",BR,[4000000006]
140246,"Patrimônio Líquido 
(j)",BR,[6000000004]+ [7000000003]+ [8000000002]
140247,"Passivo Total 
(k) = (i) + (j)",BR,[4000000006] + [6000000004]+ [7000000003]+ [8000000002]
141612,Instrumentos Derivativos (d),BR,[1330000009]
141821,"Receita de Juros com Aplicações Interfinanceiras de Liquidez 
(a1)",BR,[7141000003]+ [7142000002]+ [8115020001]
141822,"Ajuste de Variação Cambial de Aplicações Interfinanceiras de Liquidez 
(a2)",BR,[7199112008]+ [8199112007]
141823,"Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de Aplicações Interfinanceiras de Liquidez 
(a3)",BR,[7199312004]+ [7199342005]+ [7199412007]+ [7199442204]+ [7199442307]+ [8199312003]+[8199342004]+ [8199412006]
141825,"Rendas de Aplicações Interfinanceiras de Liquidez 
(a)",BR,"Somatório de Receita de Juros, Ajuste de Variação Cambial, Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de Aplicações Interfinanceiras de Liquidez"
141826,"Receita de Juros com TVM 
(b1)",BR,[7151000000]+ [7151500005]+ [7194000005]
141827,"Ajuste de Variação Cambial de TVM 
(b2)",BR,[7199113007]+ [8199113006]
141828,"Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de TVM 
(b3)",BR,[7199313003]+ [7199413006]+ [8199313002]+ [8199413005]
