Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES - PRUDENCIAL;00030159;00080147;b1;1;8;VITORIA;ES;03/2026;40.167.252;12.346.281;18.941.050;37.727.315;36.279.538;2.439.937;90.703;86;62
BANCO PINE S.A.;62144175;PINE - PRUDENCIAL;00050304;00080374;b1;2;8;SAO PAULO;SP;03/2026;35.794.933;14.027.605;16.345.110;34.062.171;29.293.290;1.732.762;149.900;3;0
BANCO ORIGINAL S.A.;92894922;ORIGINAL - PRUDENCIAL;;00080903;b1;2;8;SAO PAULO;SP;03/2026;33.654.383;16.397.391;6.297.243;31.380.990;28.968.526;2.273.393;108.760;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;;;;b3C;2;9;BELO HORIZONTE;MG;03/2026;31.970.633;153.827;15.008.657;30.188.797;870.983;1.781.836;53.451;0;0
GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;4332281;GOLDMAN SACHS - PRUDENCIAL;00051585;00080714;b2;3;8;SAO PAULO;SP;03/2026;31.828.772;11.370;16.804.599;26.318.496;10.895.711;5.510.276;291.495;2;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;;00081311;b4;1;5;PORTO ALEGRE;RS;03/2026;29.932.209;23.849.020;5.283.878;24.792.025;22.990.581;5.140.184;143.772;4;0
BANCO ITAÚ CONSIGNADO S.A.;33885724;ITAU - PRUDENCIAL;00010069;00080099;b1;2;8;SAO PAULO;SP;03/2026;29.775.617;20.954.654;0;28.857.626;28.210.912;917.991;-48.453;2;0
STONE SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.;53505601;STONE IP - PRUDENCIAL;00084686;00084686;n1;3;14;SAO PAULO;SP;03/2026;29.592.083;27.640.325;31.509;29.401.426;28.879.313;190.657;495;2;0
SAFRA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;45437547;SAFRA - PRUDENCIAL;00010083;00080109;n1;2;14;SAO PAULO;SP;03/2026;29.333.724;18.196.515;1.362.715;28.916.926;28.302.411;416.798;33.273;2;0
BANCO BOCOM BBM S.A.;15114366;BOCOM - PRUDENCIAL;00052003;00084624;b1;3;8;SALVADOR;BA;03/2026;29.214.381;13.957.623;6.979.424;27.465.133;25.404.875;1.749.248;119.754;4;0
BANCO DIGIO S.A.;27098060;BRADESCO - PRUDENCIAL;00010045;00080075;b2;2;8;OSASCO;SP;03/2026;26.378.049;19.775.193;2.261.084;26.064.758;23.848.046;313.291;38.120;2;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;;00081407;b2;3;8;CURITIBA;PR;03/2026;26.087.865;23.198.875;1.291;23.378.250;21.569.851;2.709.615;-16.033;2;0
BTG PACTUAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;43815158;BTG PACTUAL - PRUDENCIAL;00049944;00080336;n2;2;15;RIO DE JANEIRO;RJ;03/2026;25.953.287;0;1.230.634;25.009.831;633.379;943.456;97.189;6;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;;;;b3C;2;9;FLORIANOPOLIS;SC;03/2026;25.376.454;288.614;4.270.199;23.849.669;665.586;1.526.785;46.760;0;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;;;;b3C;2;9;BELO HORIZONTE;MG;03/2026;24.662.721;814.960;9.496.744;23.716.479;0;946.242;23.218;0;0
PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;4862600;PORTO SEGURO - PRUDENCIAL;00051444;00080642;n1;2;14;SAO PAULO;SP;03/2026;24.046.217;20.218.003;1.613.517;22.697.130;5.773.242;1.349.088;-11.851;2;0
CITIBANK N.A.;33042953;CITIBANK - PRUDENCIAL;00030403;00080192;b1;3;28;SAO PAULO;SP;03/2026;23.566.851;25.160;2.236.936;18.578.344;12.669.032;4.988.507;122.199;2;0
BANCO CSF S.A.;8357240;BCO CSF S.A. - PRUDENCIAL;;00081610;b2;2;8;SAO PAULO;SP;03/2026;22.661.301;17.914.604;936.577;19.390.234;4.445.321;3.271.067;130.447;2;0
MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;37679449;MERCADO PAGO IP - PRUDENCIAL;00084820;00084820;n1;3;14;OSASCO;SP;03/2026;21.225.542;10.397.570;2.842.439;18.472.430;14.520.807;2.753.112;56.690;2;0
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;CREDIT AGRICOLE - PRUDENCIAL;;00080491;b1;3;8;SAO PAULO;SP;03/2026;21.102.001;9.562.819;3.713.526;16.986.639;14.926.651;4.115.361;53.791;2;0
BANCO MERCEDES-BENZ DO BRASIL S.A.;60814191;MERCEDES-BENZ - PRUDENCIAL;00051262;00080563;b2;3;8;SAO BERNARDO DO CAMPO;SP;03/2026;20.666.323;19.005.236;307.508;18.245.097;17.447.340;2.421.226;29.240;2;0
BANCO FIBRA S.A.;58616418;BCO FIBRA S.A. - PRUDENCIAL;;00081483;b1;2;8;SAO PAULO;SP;03/2026;20.121.273;5.201.906;11.350.401;18.749.582;17.525.044;1.371.692;75.017;2;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;DEUTSCHE - PRUDENCIAL;;00080532;b1;3;8;SAO PAULO;SP;03/2026;19.964.427;3.581.439;4.045.284;16.920.352;13.463.380;3.044.075;71.791;2;0
LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;2206577;ITAU - PRUDENCIAL;00010069;00080099;n1;2;14;SAO PAULO;SP;03/2026;19.512.457;17.970.634;25.345;17.313.827;3.246.144;2.198.630;75.933;2;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;BCO DO EST. DO PA S.A. - PRUDENCIAL;;00081586;b1;1;8;BELEM;PA;03/2026;19.510.051;15.176.409;1.386.443;17.285.863;16.287.928;2.224.188;44.286;165;34
CLOUDWALK INSTITUIÇÃO DE PAGAMENTO E SERVICOS LTDA;18189547;CLOUDWALK IP - PRUDENCIAL;;00086581;n4;2;41;SAO PAULO;SP;03/2026;19.069.767;0;686.560;17.035.342;1.563.755;2.034.426;273.336;1;0
STELLANTIS FINANCIAMENTOS SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A;3502961;STELLANTIS - PRUDENCIAL;00052508;00087298;n1;3;14;SAO PAULO;SP;03/2026;18.698.725;16.816.735;597.432;16.183.688;15.600.086;2.515.037;39.718;2;0
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO - PRUDENCIAL;00010045;00080075;n1;2;19;OSASCO;SP;03/2026;18.639.472;7.774.412;9.389.131;14.041.073;12.685.894;4.598.399;96.080;2;0
BANCO JOHN DEERE S.A.;91884981;BRADESCO - PRUDENCIAL;00010045;00080075;b1;2;8;OSASCO;SP;03/2026;18.625.265;16.862.776;0;14.402.422;14.282.044;4.222.844;38.196;2;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;;;;b3S;2;9;BEBEDOURO;SP;03/2026;18.485.899;9.013.443;2.848.880;14.894.124;13.030.629;3.591.775;58.638;0;127
BANCO MORGAN STANLEY S.A.;2801938;MORGAN STANLEY - PRUDENCIAL;00051413;00080628;b1;3;8;SAO PAULO;SP;03/2026;18.361.734;292.045;9.410.159;13.922.111;6.194.196;4.439.623;142.903;2;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;SCOTIABANK BRASIL - PRUDENCIAL;00052230;00081452;b1;3;8;SAO PAULO;SP;03/2026;17.976.575;2.164.200;4.518.219;14.775.408;13.783.232;3.201.166;90.031;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;;;;b3C;2;9;RIBEIRAO PRETO;SP;03/2026;17.968.980;0;6.394.661;17.080.608;781.843;888.372;32.687;0;0
BR PARTNERS BANCO DE INVESTIMENTO S.A.;13220493;BR PARTNERS - PRUDENCIAL;;00080934;b2;2;13;SAO PAULO;SP;03/2026;17.780.592;156.875;16.331.487;17.203.418;15.878.034;577.174;-5.257;2;0
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;;;;b3C;2;9;FRANCISCO BELTRAO;PR;03/2026;17.765.649;94.876;3.645.004;17.014.329;10.763.982;751.320;26.417;0;0
BANCO SOFISA S.A.;60889128;SOFISA - PRUDENCIAL;00031873;00080271;b1;2;8;SAO PAULO;SP;03/2026;17.565.140;6.930.990;8.660.243;16.415.995;15.097.958;1.149.145;38.657;24;0
BANCO GM S.A.;59274605;GM - PRUDENCIAL;;00080848;b2;3;8;SAO PAULO;SP;03/2026;17.033.831;13.184.881;67.526;14.172.463;12.469.460;2.861.367;216.626;2;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;;;;b3S;2;9;BLUMENAU;SC;03/2026;16.666.711;8.525.611;660.328;12.988.850;11.979.348;3.677.861;191.960;0;117
BANCO NACIONAL S.A.;17157777;BTG PACTUAL - PRUDENCIAL;00049944;00080336;b2;2;8;RIO DE JANEIRO;RJ;03/2026;16.587.243;348.099;196.394;6.311.813;92.364;10.275.430;734.797;1;0
BANCO MUFG BRASIL S.A.;60498557;BCO MUFG BRASIL S.A. - PRUDENCIAL;;00081713;b1;3;8;SAO PAULO;SP;03/2026;16.438.805;3.631.065;4.071.292;14.815.150;13.582.811;1.623.655;2.630;2;0
BANCO VOLVO BRASIL S.A.;58017179;VOLVO - PRUDENCIAL;;00080769;b2;3;8;CURITIBA;PR;03/2026;16.246.955;14.164.764;966.700;12.159.509;12.038.268;4.087.445;99.445;2;0
COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL;315557;;;;b3C;2;9;SAO PAULO;SP;03/2026;16.143.094;0;9.466.695;15.424.494;102;718.599;22.356;0;1
BANCO MIZUHO DO BRASIL S.A.;61088183;MIZUHO - PRUDENCIAL;;00080697;b1;3;8;SAO PAULO;SP;03/2026;15.695.361;3.427.092;5.888.558;14.380.256;13.036.997;1.315.105;21.575;2;0
BANCO BRADESCARD S.A.;4184779;BRADESCO - PRUDENCIAL;00010045;00080075;b1;2;8;OSASCO;SP;03/2026;15.352.477;8.010.180;18;15.230.124;7.219.218;122.353;14.750;2;0
KIRTON BANK S.A. - BANCO MÚLTIPLO;1701201;BRADESCO - PRUDENCIAL;00010045;00080075;b1;2;8;OSASCO;SP;03/2026;15.264.144;3.940;4.113;3.513.552;2.350.908;11.750.592;206.184;1;0
BANCO HSBC S.A.;53518684;BANCO HSBC - PRUDENCIAL;;00084741;b1;3;8;SAO PAULO;SP;03/2026;15.263.580;4.899.247;4.639.556;13.717.073;11.565.174;1.546.507;7.284;2;0
BANCO BRADESCO BBI S.A.;6271464;BRADESCO - PRUDENCIAL;00010045;00080075;b1;2;8;OSASCO;SP;03/2026;15.162.629;0;4.069.583;9.113.820;7.475.050;6.048.809;348.223;5;0
BANCO STELLANTIS S.A.;62237425;STELLANTIS - PRUDENCIAL;00052508;00087298;b2;3;8;SAO PAULO;SP;03/2026;15.046.552;6.646.122;411.693;13.590.482;13.347.463;1.456.069;64.350;2;0
SCANIA BANCO S.A.;11417016;SCANIA - PRUDENCIAL;;00080776;b2;3;8;SAO BERNARDO DO CAMPO;SP;03/2026;14.799.849;14.138.498;1.065;13.544.978;13.445.834;1.254.871;-32.662;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;79342069;;;;b3S;2;9;MARINGA;PR;03/2026;14.734.907;8.968.643;4.390.873;13.346.247;8.204.196;1.388.660;20.242;0;114
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;BCO DES. DE MG S.A. - PRUDENCIAL;;00081328;b4;1;5;BELO HORIZONTE;MG;03/2026;14.662.268;8.490.806;4.331.060;12.209.043;11.031.129;2.453.225;42.251;2;0
BANCO BESA S.A.;15124464;BTG PACTUAL - PRUDENCIAL;00049944;00080336;b2;2;8;RIO DE JANEIRO;RJ;03/2026;14.612.035;51.074;164.302;8.788.285;5.572.460;5.823.749;459.392;1;0
BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A;7450604;BANK OF CHINA (BRASIL) - PRUDENCIAL;00032119;00080295;b1;3;8;SAO PAULO;SP;03/2026;14.610.444;7.657.336;5.151.469;13.293.226;12.301.965;1.317.218;33.399;8;0
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;;;;b3C;2;9;VITORIA;ES;03/2026;14.319.931;124.827;3.790.577;13.625.633;373.929;694.298;9.173;0;0
SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;47193149;SANTANDER - PRUDENCIAL;00030379;00080185;n1;3;19;SAO PAULO;SP;03/2026;14.266.495;3.586.630;1.715.407;3.897.069;2.421.444;10.369.426;264.332;2;0
BANCO INBURSA S.A.;4866275;BCO INBURSA S.A. - PRUDENCIAL;;00081335;b1;3;8;SAO PAULO;SP;03/2026;13.938.457;12.846.593;769.765;12.534.879;12.471.964;1.403.577;8.623;2;1
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;;;;b3C;2;9;BLUMENAU;SC;03/2026;13.850.321;805.541;9.598.082;12.876.992;2.505.345;973.329;0;0;0
BANCO RCI BRASIL S.A.;62307848;SANTANDER - PRUDENCIAL;00030379;00080185;b2;3;8;SAO PAULO;SP;03/2026;13.713.971;9.339.225;3.012.459;12.357.225;11.235.172;1.356.746;88.307;2;0
COOPERATIVA DE CRÉDITO CONEXÃO - SICOOB CONEXÃO;32430233;;;;b3S;2;9;LINHARES;ES;03/2026;13.652.938;8.277.429;1.091.369;11.002.983;9.303.019;2.649.955;185.662;0;47
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;;;;b3S;2;9;LUCAS DO RIO VERDE;MT;03/2026;13.601.422;8.105.163;4.583.786;11.518.423;6.361.003;2.083.000;86.038;0;40
BANCO DE INVESTIMENTOS UBS (BRASIL) S.A.;33987793;UBS (BRASIL) - PRUDENCIAL;00030771;00080219;b2;3;13;SAO PAULO;SP;03/2026;13.594.977;3.071.640;3.410.159;9.442.149;7.130.427;4.152.828;-82.968;3;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;;;;b3S;2;9;SERTAOZINHO;SP;03/2026;13.588.072;7.657.881;412.029;11.710.104;10.981.880;1.877.968;24.561;0;43
PARANÁ BANCO S.A.;14388334;PARANÁ BANCO - PRUDENCIAL;00030881;00080233;b1;2;8;CURITIBA;PR;03/2026;13.400.356;9.210.212;2.298.933;12.088.928;11.638.792;1.311.427;23.517;2;0
