Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA (e);Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;03/2026;13.406.092;9.210.212;2.298.933;12.089.237;11.638.792;1.316.855;23.297;1.106.126;17,21%;6,79%;4;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;03/2026;13.340.415;7.616.526;4.396.885;12.133.830;8.382.368;1.206.585;613;1.394.066;15,35%;12,08%;0;99
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS, GRANDE CURITIBA, VALE DO RIBEIRA E FORÇA DOS VENTOS - SICREDI CAMPOS GERAIS E GRANDE CURITIBA PR/SP;81466286;b3S;S4;I;2;PONTA GROSSA;PR;03/2026;13.128.811;7.484.059;5.076.553;11.731.907;8.614.164;1.396.904;71.309;1.465.278;16,89%;11,91%;0;66
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S3;I;3;PORTO ALEGRE;RS;03/2026;13.015.662;11.282.155;0;11.964.413;10.873.515;1.051.249;-36.977;1.503.356;13,16%;4,75%;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;03/2026;12.715.860;7.015.816;4.495.396;11.195.956;7.699.704;1.519.904;59.343;1.690.955;20,29%;23,40%;0;102
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES;90608712;b3S;S4;I;2;CARLOS BARBOSA;RS;03/2026;12.675.176;6.194.352;5.141.716;11.336.985;8.798.887;1.338.191;63.645;1.400.474;17,17%;13,05%;0;53
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;C;3;SAO PAULO;SP;03/2026;12.489.254;10.631.254;0;11.186.919;10.479.615;1.302.335;58.183;1.295.308;12,63%;5,68%;3;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S4;I;2;CHAPECO;SC;03/2026;11.380.047;7.487.560;176.556;10.035.890;8.436.998;1.344.158;54.585;1.354.871;15,79%;6,39%;0;103
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;S4;I;2;NOVA PETROPOLIS;RS;03/2026;11.358.937;5.955.694;4.320.892;10.104.352;8.252.392;1.254.584;50.287;1.244.806;18,25%;8,02%;0;59
NEON PAGAMENTOS IP - PRUDENCIAL;1000085702;n1;S4;C;2;SAO PAULO;SP;03/2026;11.211.845;6.158.195;2.299.485;9.830.681;6.432.966;1.381.164;38.101;827.069;13,93%;NA%;5;0
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;03/2026;11.111.609;5.199.559;1.156.545;3.423.122;3.283.569;7.688.486;45.471;1.763.338;58,12%;1,41%;61;0
SEM PARAR IP - PRUDENCIAL;1000086158;n1;S5;C;3;SAO PAULO;SP;03/2026;10.638.995;205.261;3.037.794;5.125.784;1.386.146;5.513.211;254.529;NI;NI%;NA%;3;0
SISPRIME DO BRASIL - COOPERATIVA DE CRÉDITO;2398976;b3S;S4;I;2;LONDRINA;PR;03/2026;10.605.314;5.640.756;3.915.711;8.710.695;8.522.469;1.894.619;86.209;1.876.558;22,70%;4,84%;0;50
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO - SICREDI UNIAO RS/ES;88894548;b3S;S4;I;2;SANTA ROSA;RS;03/2026;10.299.324;6.274.775;3.231.737;9.026.319;5.538.211;1.273.005;48.645;1.251.284;16,15%;10,80%;0;75
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL E BAHIA - SICREDI CENTRO-SUL MS/BA;26408161;b3S;S4;I;2;DOURADOS;MS;03/2026;10.061.076;6.239.051;2.731.514;8.660.735;5.589.664;1.400.341;22.274;1.404.854;19,52%;11,20%;0;63
BANCO DIGIMAIS - PRUDENCIAL;1000081799;b1;S4;C;3;SAO PAULO;SP;03/2026;10.027.112;1.571.477;3.295.484;9.223.144;8.477.598;803.968;-108.355;1.160.926;11,67%;42,51%;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;S4;I;2;TANGARA DA SERRA;MT;03/2026;9.994.787;5.115.770;3.731.208;8.728.950;6.155.994;1.265.837;70.069;1.326.240;18,66%;11,63%;0;101
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;S5;I;2;GOIANIA;GO;03/2026;9.954.340;6.266.533;122.337;8.814.624;8.098.825;1.139.716;3.493;NI;NI%;NI%;0;114
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;S5;I;2;BELO HORIZONTE;MG;03/2026;9.835.287;4.791.714;210.974;8.432.877;7.787.615;1.402.410;44.319;1.280.598;23,63%;1,14%;0;55
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;03/2026;9.773.719;1.931.496;3.049.871;7.847.959;6.740.622;1.925.760;-25.152;1.997.570;26,80%;1,57%;2;0
FACTA S.A. CFI - PRUDENCIAL;1000083704;n1;S4;C;2;PORTO ALEGRE;RS;03/2026;9.371.757;4.395.215;4.079.964;8.649.456;7.663.480;722.301;18.762;859.236;19,56%;0,71%;4;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO E OESTE DA BA;24654881;b3S;S4;I;2;CAMPO GRANDE;MS;03/2026;9.115.724;5.459.878;2.520.082;8.108.174;4.652.164;1.007.550;34.675;1.074.025;16,65%;7,90%;0;60
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;03/2026;9.036.390;4.588.866;1.589.022;1.979.137;922.348;7.057.253;111.171;6.919.820;49,81%;1,08%;6;1.195
